Trace,Agile NaiveFP,Agile NoFP,Agile SBFP,ASP NaiveFP,ASP NoFP,ASP SBFP,DP NaiveFP,DP NoFP,DP SBFP,No NaiveFP,No NoFP,No SBFP,SP NaiveFP,SP NoFP,SP SBFP
srv_48,0.427003,0.415263,0.42409,0.426991,0.415263,0.424081,0.426796,0.415872,0.424058,0.427003,0.415263,0.42409,0.42565,0.422144,0.425245
srv_s7,0.434431,0.427084,0.433148,0.434431,0.427084,0.433148,0.434288,0.427558,0.433187,0.434431,0.427084,0.433148,0.434173,0.432048,0.433977
srv_617,0.422971,0.41164,0.42172,0.422969,0.411641,0.421718,0.422821,0.412186,0.421711,0.422971,0.41164,0.42172,0.422124,0.418178,0.420481
srv_32,0.431189,0.418884,0.428739,0.431191,0.418885,0.428739,0.431007,0.419389,0.427759,0.431189,0.418884,0.428739,0.430335,0.426161,0.429243
srv_255,0.435253,0.422834,0.433099,0.435253,0.422834,0.433099,0.435108,0.423419,0.432131,0.435253,0.422834,0.433099,0.43418,0.430231,0.43375
srv_669,0.413276,0.400811,0.411467,0.413273,0.400821,0.411504,0.412917,0.401676,0.410837,0.413276,0.400811,0.411467,0.412158,0.408,0.410747
srv_771,0.428829,0.41678,0.425691,0.428816,0.41678,0.425684,0.428544,0.41736,0.425694,0.428829,0.41678,0.425691,0.427556,0.424052,0.427045
srv_287,0.409134,0.398222,0.407688,0.409141,0.398235,0.407695,0.408923,0.398892,0.407605,0.409134,0.398222,0.407688,0.408308,0.405108,0.408193
srv_85,0.418043,0.404399,0.416366,0.418042,0.404399,0.416369,0.417882,0.405316,0.414879,0.418043,0.404399,0.416366,0.416673,0.411881,0.415608
srv_225,0.433863,0.421994,0.431196,0.433863,0.421994,0.431196,0.433705,0.422554,0.430543,0.433863,0.421994,0.431196,0.432682,0.429033,0.432211
srv_12,0.407747,0.394597,0.405427,0.40775,0.394613,0.405409,0.407527,0.39541,0.405197,0.407747,0.394597,0.405427,0.406816,0.40245,0.406344
srv_s69,0.429366,0.41769,0.42789,0.429421,0.417744,0.427946,0.429225,0.418441,0.426915,0.429366,0.41769,0.42789,0.428248,0.425233,0.427952
srv_73,0.416276,0.404153,0.415005,0.416276,0.40417,0.415,0.416155,0.404778,0.414902,0.416276,0.404153,0.415005,0.415541,0.411707,0.414636
srv_715,0.414345,0.401572,0.412177,0.414361,0.401593,0.41216,0.414227,0.402348,0.411687,0.414345,0.401572,0.412177,0.413591,0.409229,0.412463
srv_537,0.420295,0.408311,0.418477,0.420299,0.408324,0.418477,0.420088,0.408875,0.417752,0.420295,0.408311,0.418477,0.419248,0.415034,0.418147
srv_764,0.424104,0.414196,0.422826,0.424104,0.414198,0.422826,0.423932,0.414691,0.422754,0.424104,0.414196,0.422826,0.423458,0.420962,0.423322
